contigName	contigLen	totalAvgDepth	aln.sorted.bam	aln.sorted.bam-var
k141_525 flag=0 multi=6.0000 len=4926	4926	6.05088	6.05088	4.61624
k141_534 flag=0 multi=68.5755 len=1095	1095	45.3915	45.3915	144.194
k141_535 flag=1 multi=5.0000 len=2501	2501	5.31221	5.31221	4.50673
k141_536 flag=1 multi=5.8387 len=9622	9622	6.84924	6.84924	7.71719
k141_538 flag=1 multi=5.0317 len=8555	8555	6.17692	6.17692	6.26394
k141_541 flag=0 multi=5.0000 len=9369	9369	6.41979	6.41979	5.86706
k141_546 flag=1 multi=4.9852 len=10717	10717	5.83846	5.83846	4.41823
k141_554 flag=0 multi=63.8825 len=4415	4415	70.8821	70.8821	61.0365
k141_558 flag=1 multi=5.0000 len=8545	8545	6.08529	6.08529	5.89559
k141_561 flag=1 multi=2.0000 len=1063	1063	2.50821	2.50821	1.44758
k141_562 flag=1 multi=6.0000 len=2318	2318	6.79705	6.79705	3.34044
k141_568 flag=1 multi=4.0000 len=1060	1060	5.16703	5.16703	6.76417
k141_570 flag=0 multi=58.5305 len=10695	10695	65.8808	65.8808	74.467
k141_571 flag=0 multi=5.0000 len=8833	8833	6.13613	6.13613	5.75163
k141_576 flag=0 multi=6.0000 len=8936	8936	7.39415	7.39415	5.92498
k141_577 flag=1 multi=6.0000 len=1423	1423	4.68657	4.68657	2.02353
k141_590 flag=0 multi=52.4220 len=8261	8261	59.9604	59.9604	158.694
k141_593 flag=1 multi=6.0000 len=7133	7133	6.47229	6.47229	6.10978
k141_594 flag=1 multi=6.0000 len=2743	2743	7.59236	7.59236	7.35652
k141_604 flag=0 multi=21.0000 len=1359	1359	22.0819	22.0819	37.0702
k141_612 flag=0 multi=5.0583 len=1119	1119	5.4355	5.4355	3.2337
k141_613 flag=1 multi=5.0576 len=5853	5853	5.45871	5.45871	5.02909
k141_619 flag=1 multi=5.0000 len=1911	1911	5.36286	5.36286	2.66088
k141_630 flag=0 multi=60.9114 len=2771	2771	58.5235	58.5235	60.7984
k141_634 flag=0 multi=65.6045 len=4669	4669	65.3802	65.3802	56.7537
k141_636 flag=0 multi=5.8891 len=1809	1809	5.33213	5.33213	8.01455
k141_641 flag=0 multi=73.5846 len=1903	1903	76.004	76.004	84.0488
k141_643 flag=0 multi=6.0000 len=12529	12529	7.14533	7.14533	6.33501
k141_645 flag=0 multi=24.0000 len=1295	1295	26.1703	26.1703	28.3109
k141_646 flag=1 multi=6.0000 len=3955	3955	6.85834	6.85834	6.26346
k141_650 flag=0 multi=6.0000 len=9029	9029	7.0009	7.0009	5.66825
k141_659 flag=0 multi=5.0000 len=2764	2764	6.25325	6.25325	5.27836
k141_660 flag=0 multi=7.0000 len=1063	1063	7.28916	7.28916	2.90094
k141_661 flag=1 multi=4.0000 len=1186	1186	4.13803	4.13803	2.70461
k141_670 flag=0 multi=72.7217 len=3778	3778	55.2856	55.2856	244.075
k141_671 flag=0 multi=6.0000 len=1483	1483	6.44786	6.44786	4.54479
k141_678 flag=1 multi=6.0000 len=14040	14040	6.68409	6.68409	5.6361
k141_696 flag=1 multi=6.0000 len=6694	6694	6.704	6.704	7.32319
k141_698 flag=0 multi=35.1460 len=8539	8539	42.3846	42.3846	58.7696
k141_702 flag=1 multi=2.7282 len=1528	1528	3.61176	3.61176	5.0554
k141_710 flag=0 multi=5.1409 len=1404	1404	5.50638	5.50638	5.92133
k141_711 flag=0 multi=58.1872 len=5451	5451	65.8566	65.8566	77.142
k141_714 flag=0 multi=5.8490 len=12528	12528	6.27993	6.27993	6.35199
k141_715 flag=0 multi=5.0000 len=7072	7072	5.73476	5.73476	5.20338
k141_716 flag=1 multi=6.0000 len=4017	4017	6.77605	6.77605	4.96584
k141_717 flag=1 multi=3.0000 len=1113	1113	2.34476	2.34476	0.723005
k141_718 flag=1 multi=4.1302 len=3504	3504	4.178	4.178	2.13923
k141_719 flag=0 multi=52.0000 len=12674	12674	62.8457	62.8457	63.9841
k141_724 flag=0 multi=54.1766 len=15403	15403	63.2567	63.2567	158.7
k141_725 flag=1 multi=5.0000 len=11391	11391	5.09643	5.09643	3.95054
k141_730 flag=0 multi=6.0000 len=2389	2389	5.57392	5.57392	6.35102
k141_732 flag=0 multi=6.0000 len=6427	6427	6.85455	6.85455	8.79073
k141_733 flag=1 multi=6.0000 len=14911	14911	6.63647	6.63647	4.6044
k141_735 flag=0 multi=6.0583 len=7514	7514	6.57469	6.57469	5.37231
k141_737 flag=0 multi=5.0000 len=1005	1005	6.30526	6.30526	9.12566
k141_739 flag=0 multi=60.0492 len=1971	1971	44.7485	44.7485	109.529
k141_741 flag=0 multi=8.0000 len=2625	2625	8.85495	8.85495	6.60191
k141_744 flag=0 multi=6.8316 len=3632	3632	6.33285	6.33285	12.6088
k141_746 flag=1 multi=5.0000 len=1607	1607	5.96843	5.96843	5.99488
k141_752 flag=0 multi=6.0000 len=3238	3238	6.3763	6.3763	5.16707
k141_757 flag=1 multi=7.0000 len=8837	8837	7.40555	7.40555	7.81
k141_763 flag=0 multi=5.0000 len=1689	1689	4.65107	4.65107	3.87362
k141_767 flag=1 multi=5.0000 len=2803	2803	5.98907	5.98907	6.82755
k141_769 flag=0 multi=6.0000 len=5188	5188	6.87852	6.87852	5.3722
k141_798 flag=1 multi=6.0000 len=8041	8041	6.91408	6.91408	5.67222
k141_805 flag=1 multi=5.0000 len=4540	4540	6.95421	6.95421	5.53145
k141_812 flag=0 multi=6.0000 len=7185	7185	5.76219	5.76219	4.95595
k141_814 flag=0 multi=45.5378 len=8423	8423	43.5448	43.5448	44.1646
k141_816 flag=0 multi=5.0000 len=1567	1567	5.05011	5.05011	3.98126
k141_818 flag=0 multi=6.0000 len=1272	1272	6.48663	6.48663	2.88518
k141_831 flag=0 multi=56.0572 len=17067	17067	67.879	67.879	64.6982
k141_843 flag=0 multi=6.0000 len=9709	9709	6.69285	6.69285	8.65363
k141_846 flag=0 multi=6.0227 len=2657	2657	7.03869	7.03869	3.548
k141_849 flag=0 multi=5.3320 len=2075	2075	5.84208	5.84208	3.1954
k141_855 flag=1 multi=5.0000 len=11238	11238	6.24143	6.24143	4.16546
k141_862 flag=1 multi=6.0000 len=17932	17932	6.45231	6.45231	5.65013
k141_867 flag=0 multi=6.0000 len=8801	8801	5.86637	5.86637	5.98978
k141_870 flag=0 multi=6.0023 len=5807	5807	6.70426	6.70426	4.77864
k141_873 flag=0 multi=6.0000 len=1749	1749	4.54284	4.54284	3.36847
k141_874 flag=0 multi=4.0000 len=2647	2647	5.21386	5.21386	5.28206
k141_876 flag=0 multi=6.0000 len=1102	1102	5.60084	5.60084	3.29163
k141_877 flag=0 multi=6.0000 len=1911	1911	7.08631	7.08631	5.99028
k141_878 flag=1 multi=6.0000 len=5655	5655	7.19092	7.19092	7.53426
k141_882 flag=1 multi=5.0722 len=18888	18888	6.15279	6.15279	5.72711
k141_884 flag=0 multi=5.0000 len=1092	1092	5.16561	5.16561	2.02993
k141_889 flag=1 multi=5.7675 len=6996	6996	6.16009	6.16009	5.26732
k141_890 flag=0 multi=6.0007 len=16402	16402	6.42555	6.42555	6.62219
k141_892 flag=1 multi=6.0000 len=7722	7722	6.46289	6.46289	4.88709
k141_896 flag=1 multi=6.0000 len=7143	7143	6.72229	6.72229	7.6728
k141_899 flag=0 multi=6.0000 len=1085	1085	7.1754	7.1754	7.76362
k141_904 flag=1 multi=4.8622 len=3994	3994	6.1873	6.1873	5.15313
k141_912 flag=1 multi=5.0000 len=1586	1586	4.85794	4.85794	3.70663
k141_917 flag=1 multi=5.0000 len=9739	9739	6.03264	6.03264	5.92185
k141_921 flag=0 multi=57.4472 len=3670	3670	61.7634	61.7634	38.5666
k141_922 flag=1 multi=6.0000 len=6469	6469	6.75835	6.75835	3.08684
k141_929 flag=1 multi=5.0000 len=8843	8843	6.16358	6.16358	6.09079
k141_930 flag=1 multi=6.0000 len=9941	9941	6.41957	6.41957	5.47552
k141_941 flag=1 multi=5.0000 len=13947	13947	5.54961	5.54961	6.54492
k141_958 flag=1 multi=6.0000 len=12102	12102	6.2495	6.2495	6.6997
k141_965 flag=0 multi=5.0000 len=1591	1591	5.82929	5.82929	4.05693
k141_966 flag=0 multi=15.2447 len=1330	1330	15.2373	15.2373	44.7241
k141_982 flag=0 multi=6.0000 len=1084	1084	5.32441	5.32441	2.59454
k141_986 flag=1 multi=5.0000 len=6650	6650	5.92877	5.92877	4.34754
k141_990 flag=1 multi=4.6118 len=1532	1532	6.35601	6.35601	1.51545
k141_991 flag=1 multi=3.0000 len=1199	1199	3.5796	3.5796	2.86794
k141_996 flag=0 multi=5.9813 len=8256	8256	5.87343	5.87343	4.66876
k141_998 flag=1 multi=6.1357 len=8178	8178	6.73244	6.73244	7.40983
k141_1003 flag=0 multi=5.0000 len=3715	3715	5.00729	5.00729	4.51504
k141_1006 flag=1 multi=6.0319 len=13505	13505	6.57626	6.57626	5.34746
k141_1009 flag=0 multi=4.0000 len=4459	4459	4.77512	4.77512	2.97378
k141_1010 flag=0 multi=6.0000 len=6955	6955	6.26466	6.26466	7.86115
k141_1018 flag=1 multi=5.0000 len=6579	6579	5.86359	5.86359	4.58171
k141_1020 flag=0 multi=5.7605 len=15041	15041	6.68901	6.68901	6.37967
k141_1022 flag=1 multi=5.0000 len=2678	2678	5.67722	5.67722	6.37539
k141_1027 flag=0 multi=60.8552 len=11735	11735	65.1034	65.1034	65.6824
k141_1029 flag=0 multi=5.6509 len=2146	2146	5.36874	5.36874	4.21481
k141_1034 flag=0 multi=4.9411 len=1159	1159	4.29237	4.29237	3.25469
k141_1049 flag=0 multi=61.0804 len=6908	6908	64.909	64.909	117.46
k141_1051 flag=1 multi=5.0000 len=3552	3552	5.51675	5.51675	4.37092
k141_1054 flag=0 multi=6.0766 len=2074	2074	7.23025	7.23025	9.00937
k141_1058 flag=0 multi=3.0000 len=1948	1948	4.55006	4.55006	3.35732
k141_1062 flag=1 multi=3.0000 len=2969	2969	4.31536	4.31536	5.07263
k141_1068 flag=0 multi=5.6835 len=6431	6431	5.41888	5.41888	6.12439
k141_1069 flag=1 multi=5.4193 len=4591	4591	6.67417	6.67417	2.88588
k141_1070 flag=1 multi=6.0000 len=2691	2691	5.41047	5.41047	5.72637
k141_1072 flag=1 multi=5.3637 len=8601	8601	6.78334	6.78334	5.80269
k141_1073 flag=1 multi=7.0000 len=3170	3170	6.8255	6.8255	8.25742
k141_1075 flag=0 multi=7.3208 len=1182	1182	8.95252	8.95252	9.73878
k141_1079 flag=0 multi=56.1689 len=14916	14916	65.81	65.81	89.7918
k141_1080 flag=0 multi=6.0679 len=10628	10628	6.56318	6.56318	6.12091
k141_1087 flag=0 multi=115.1994 len=6496	6496	128.764	128.764	521.209
k141_1088 flag=0 multi=72.2231 len=2431	2431	74.1337	74.1337	260.03
k141_1093 flag=1 multi=4.7271 len=1057	1057	5.57883	5.57883	4.2573
k141_1094 flag=0 multi=7.0000 len=8843	8843	6.84562	6.84562	7.93853
k141_1099 flag=1 multi=6.0000 len=7958	7958	6.75346	6.75346	6.35814
k141_1100 flag=1 multi=5.0000 len=1452	1452	7.95084	7.95084	17.1675
k141_1101 flag=0 multi=4.0000 len=4002	4002	5.27285	5.27285	5.74299
k141_1114 flag=0 multi=5.0000 len=1259	1259	4.81154	4.81154	3.50144
k141_1117 flag=1 multi=6.0000 len=1352	1352	4.9401	4.9401	6.92061
k141_1123 flag=1 multi=6.0000 len=3618	3618	6.18397	6.18397	10.7783
k141_1125 flag=0 multi=5.0649 len=9843	9843	5.74786	5.74786	4.78622
k141_1126 flag=1 multi=6.0000 len=4853	4853	6.32001	6.32001	7.30347
k141_1127 flag=0 multi=6.9663 len=10326	10326	7.13365	7.13365	7.12844
k141_1130 flag=1 multi=6.0000 len=6816	6816	6.71992	6.71992	6.6151
k141_1134 flag=0 multi=6.0000 len=5500	5500	8.05421	8.05421	7.73235
k141_1136 flag=1 multi=5.0000 len=4015	4015	6.34049	6.34049	9.81878
k141_1137 flag=1 multi=7.0000 len=16474	16474	7.14004	7.14004	10.5515
k141_1138 flag=0 multi=38.4765 len=29044	29044	45.4278	45.4278	45.3735
k141_1141 flag=1 multi=5.8896 len=12278	12278	6.29024	6.29024	7.76425
k141_1145 flag=1 multi=5.0000 len=4360	4360	6.44822	6.44822	5.79505
k141_1146 flag=0 multi=4.0673 len=2933	2933	4.30794	4.30794	1.89688
k141_1152 flag=0 multi=5.0000 len=8590	8590	6.55107	6.55107	4.27206
k141_1156 flag=1 multi=5.9933 len=8304	8304	5.58487	5.58487	5.85104
k141_1157 flag=1 multi=5.0000 len=12265	12265	5.75039	5.75039	4.55729
k141_1162 flag=0 multi=5.3360 len=23723	23723	6.20536	6.20536	6.00423
k141_1165 flag=1 multi=4.0000 len=3640	3640	4.84986	4.84986	6.54445
k141_1168 flag=0 multi=55.2594 len=30140	30140	66.3323	66.3323	59.3144
k141_1169 flag=1 multi=4.0000 len=3037	3037	4.22099	4.22099	4.68711
k141_1171 flag=1 multi=5.0000 len=2512	2512	5.09653	5.09653	2.02963
k141_1174 flag=1 multi=6.0000 len=2032	2032	6.04304	6.04304	9.87536
k141_1186 flag=0 multi=4.0000 len=1035	1035	3.39887	3.39887	1.41651
k141_1190 flag=0 multi=5.0000 len=6625	6625	6.26919	6.26919	7.87492
k141_1195 flag=1 multi=4.8223 len=3068	3068	5.42049	5.42049	4.17931
k141_1202 flag=0 multi=8.2102 len=1992	1992	7.1683	7.1683	3.80001
k141_1207 flag=1 multi=6.0000 len=9745	9745	6.43523	6.43523	7.87105
k141_1213 flag=0 multi=37.1639 len=15545	15545	44.0825	44.0825	48.4547
k141_1215 flag=1 multi=5.9459 len=15945	15945	6.31206	6.31206	6.17591
k141_1216 flag=1 multi=4.4852 len=1458	1458	5.30122	5.30122	6.10963
k141_1217 flag=0 multi=5.0000 len=1554	1554	5.64815	5.64815	5.03364
k141_1218 flag=1 multi=5.8029 len=10537	10537	6.12179	6.12179	5.08712
k141_1221 flag=0 multi=54.0969 len=33131	33131	64.8124	64.8124	87.1018
k141_1222 flag=1 multi=6.0000 len=5859	5859	5.16237	5.16237	3.56034
k141_1223 flag=0 multi=6.0000 len=2049	2049	5.32438	5.32438	5.67761
k141_1226 flag=0 multi=96.0603 len=1153	1153	59.4247	59.4247	48.3884
k141_1228 flag=0 multi=35.3964 len=4536	4536	38.3561	38.3561	45.6242
k141_1229 flag=0 multi=6.0000 len=3571	3571	5.86788	5.86788	5.3849
k141_1241 flag=0 multi=5.0000 len=3248	3248	5.89606	5.89606	4.50134
k141_1244 flag=0 multi=5.0000 len=5754	5754	6.36956	6.36956	6.52206
k141_1253 flag=0 multi=4.9284 len=13446	13446	6.17464	6.17464	6.65711
k141_1257 flag=1 multi=4.6531 len=3404	3404	6.1512	6.1512	5.62852
k141_1262 flag=0 multi=56.3134 len=5071	5071	61.7661	61.7661	83.8279
k141_1267 flag=1 multi=5.0000 len=3319	3319	5.54465	5.54465	6.11678
k141_1276 flag=1 multi=5.4280 len=17332	17332	6.04918	6.04918	6.75832
k141_1279 flag=1 multi=5.0000 len=1447	1447	6.02236	6.02236	2.68393
k141_1280 flag=1 multi=4.0000 len=1474	1474	5.79758	5.79758	9.46161
k141_1288 flag=0 multi=6.0000 len=15579	15579	6.50288	6.50288	5.17271
k141_1295 flag=1 multi=5.0000 len=5095	5095	5.93327	5.93327	4.39613
k141_1303 flag=0 multi=6.0123 len=1036	1036	3.78555	3.78555	2.06696
k141_1310 flag=1 multi=4.8894 len=3178	3178	5.79822	5.79822	5.34908
k141_1312 flag=0 multi=4.0000 len=1150	1150	2.517	2.517	0.962664
k141_1313 flag=0 multi=5.0000 len=1700	1700	4.95935	4.95935	7.21399
k141_1327 flag=1 multi=4.0000 len=2879	2879	4.23598	4.23598	3.17446
k141_1328 flag=0 multi=56.1766 len=32114	32114	67.2391	67.2391	75.4033
k141_1329 flag=0 multi=58.1825 len=23795	23795	68.3547	68.3547	74.7415
k141_1334 flag=1 multi=6.9471 len=5344	5344	6.56681	6.56681	8.34601
k141_1336 flag=1 multi=6.0000 len=14281	14281	5.99321	5.99321	6.52926
k141_1337 flag=0 multi=5.0694 len=17764	17764	5.80618	5.80618	4.63897
k141_1342 flag=0 multi=6.0190 len=9040	9040	6.20169	6.20169	5.76251
k141_1346 flag=1 multi=5.6219 len=1146	1146	7.41365	7.41365	4.51615
k141_1353 flag=0 multi=6.0000 len=12338	12338	6.76288	6.76288	7.1614
k141_1357 flag=1 multi=7.0000 len=9709	9709	6.66126	6.66126	10.6312
k141_1361 flag=0 multi=6.0000 len=18816	18816	6.67202	6.67202	4.82014
k141_1371 flag=0 multi=3.0099 len=2368	2368	3.49279	3.49279	4.1697
k141_1375 flag=1 multi=6.0000 len=8633	8633	7.01556	7.01556	5.8975
k141_1378 flag=0 multi=5.9828 len=6548	6548	7.15505	7.15505	7.61268
k141_1380 flag=0 multi=69.8036 len=2055	2055	69.4987	69.4987	126.522
k141_1381 flag=0 multi=37.0511 len=34521	34521	44.3936	44.3936	40.4631
k141_1382 flag=0 multi=5.0000 len=2996	2996	5.25193	5.25193	2.83879
k141_1388 flag=1 multi=4.0000 len=1966	1966	4.37775	4.37775	1.39001
k141_1389 flag=0 multi=38.0209 len=29655	29655	45.4936	45.4936	56.7483
k141_1392 flag=1 multi=5.0000 len=7560	7560	6.14858	6.14858	6.0441
k141_1394 flag=0 multi=6.0342 len=1428	1428	6.94523	6.94523	13.892
k141_1396 flag=1 multi=5.0000 len=2065	2065	4.74726	4.74726	4.67065
k141_1400 flag=1 multi=5.0000 len=2574	2574	5.85767	5.85767	6.0041
k141_1402 flag=0 multi=5.0894 len=5972	5972	5.95723	5.95723	6.69264
k141_1410 flag=1 multi=6.0000 len=1734	1734	5.25631	5.25631	8.10736
k141_1420 flag=1 multi=4.2130 len=2042	2042	4.54228	4.54228	6.71899
k141_1430 flag=1 multi=6.0000 len=2091	2091	6.48429	6.48429	4.36843
k141_1439 flag=0 multi=54.2497 len=12002	12002	62.3513	62.3513	151.708
k141_1445 flag=0 multi=5.0619 len=2644	2644	6.11868	6.11868	6.38463
k141_1447 flag=1 multi=5.0000 len=7363	7363	5.5174	5.5174	4.99955
k141_1452 flag=1 multi=5.3639 len=25255	25255	6.32344	6.32344	5.84292
k141_1454 flag=0 multi=57.7926 len=27094	27094	67.8333	67.8333	70.6686
k141_1457 flag=0 multi=52.4915 len=2444	2444	61.0955	61.0955	61.9833
k141_1459 flag=1 multi=5.0000 len=13906	13906	5.86195	5.86195	5.64223
k141_1462 flag=1 multi=5.0000 len=3019	3019	6.82886	6.82886	4.19904
k141_1463 flag=1 multi=5.0000 len=2946	2946	5.47926	5.47926	3.88975
k141_1465 flag=0 multi=4.7616 len=1089	1089	4.38871	4.38871	1.99693
k141_1471 flag=0 multi=4.2535 len=1589	1589	5.0549	5.0549	2.38016
k141_1479 flag=0 multi=56.1598 len=33804	33804	66.8411	66.8411	65.9397
k141_1480 flag=1 multi=5.0000 len=11046	11046	5.73091	5.73091	5.33895
k141_1486 flag=0 multi=4.0238 len=2329	2329	5.16384	5.16384	2.51357
k141_1488 flag=0 multi=54.4070 len=1168	1168	59.1788	59.1788	155.018
k141_1507 flag=0 multi=6.0000 len=9848	9848	6.49897	6.49897	6.56219
k141_1512 flag=0 multi=4.8441 len=2399	2399	6.32148	6.32148	6.6764
k141_1514 flag=0 multi=109.7879 len=3375	3375	110.241	110.241	1112.72
k141_1518 flag=0 multi=5.0000 len=1868	1868	5.4901	5.4901	7.50215
k141_1522 flag=1 multi=5.2854 len=19516	19516	5.98632	5.98632	4.69804
k141_1527 flag=0 multi=57.9341 len=3707	3707	63.9848	63.9848	87.4615
