#ID	Avg_fold	Length	Read_GC
k141_350	6.6600	653	0.7132
k141_353	5.6571	630	0.7223
k141_354	4.8205	1499	0.6912
k141_355	67.5433	3017	0.4083
k141_356	6.4992	3794	0.6961
k141_360	4.1686	866	0.7265
k141_364	63.4701	1338	0.3551
k141_367	204.1875	3050	0.5291
k141_369	4.7546	5126	0.6896
k141_371	4.6608	2709	0.6826
k141_374	49.0243	577	0.5011
k141_375	5.4687	3132	0.6784
k141_382	6.0830	5540	0.6970
k141_385	6.7062	1586	0.7229
k141_392	3.9521	605	0.6939
k141_399	58.3766	685	0.2996
k141_402	8.7851	2825	0.7113
k141_403	5.8302	5313	0.7224
k141_404	6.7269	6398	0.6794
k141_405	6.4549	5586	0.7181
k141_406	7.3767	6140	0.7015
k141_407	8.8835	4362	0.7000
k141_410	6.4288	2691	0.7037
k141_411	5.3900	541	0.7083
k141_412	5.9454	2216	0.6746
k141_413	3.2622	923	0.6299
k141_414	71.7873	4457	0.4080
k141_415	3.6018	884	0.7294
k141_418	67.6163	4180	0.3840
k141_420	106.6069	547	0.3837
k141_421	5.5393	1413	0.7277
k141_424	7.4577	568	0.7464
k141_428	102.8500	860	0.3422
k141_431	4.6526	3040	0.7001
k141_432	5.6426	1911	0.7339
k141_435	6.0559	4653	0.7159
k141_438	6.0170	2938	0.6764
k141_439	6.4130	7092	0.7080
k141_440	6.4548	5735	0.7065
k141_441	6.2714	3165	0.6594
k141_442	3.3331	1390	0.6611
k141_443	6.0009	6373	0.7033
k141_444	5.5403	2099	0.6800
k141_445	6.8470	8109	0.6750
k141_446	4.8355	1757	0.7333
k141_448	54.6004	946	0.4472
k141_449	4.4495	1059	0.6971
k141_451	94.1366	615	0.5538
k141_452	6.1495	4061	0.6952
k141_453	8.2856	8217	0.7005
k141_454	4.3260	1322	0.6641
k141_458	3.1818	1513	0.6788
k141_460	6.1194	1131	0.6812
k141_462	7.7106	8584	0.6951
k141_465	4.1296	656	0.7150
k141_472	6.5781	7738	0.6817
k141_473	4.8206	1717	0.6871
k141_474	131.0836	3503	0.4672
k141_477	5.4457	2533	0.7017
k141_478	65.3060	6575	0.4316
k141_481	7.1497	3915	0.7195
k141_484	5.9620	2314	0.6886
k141_486	7.2178	6699	0.7103
k141_488	3.9073	604	0.6649
k141_492	262.2833	1719	0.3735
k141_494	6.5825	7681	0.6731
k141_496	5.6698	2526	0.6759
k141_498	6.5009	3889	0.7288
k141_500	6.4708	3749	0.6405
k141_507	7.9771	6058	0.6669
k141_515	6.5375	2519	0.6689
k141_520	7.2550	8588	0.6735
k141_522	6.4824	9212	0.6997
k141_524	7.6762	5682	0.6960
k141_525	6.8764	4926	0.6637
k141_534	53.2073	1095	0.4955
k141_535	5.5354	2501	0.6778
k141_536	7.5687	9622	0.6876
k141_538	6.3682	8555	0.6960
k141_541	6.9302	9369	0.7045
k141_546	6.5740	10717	0.7047
k141_549	6.9699	532	0.7117
k141_554	76.1964	4415	0.3462
k141_558	6.3458	8545	0.6850
k141_561	3.1129	1063	0.7212
k141_562	7.0108	2318	0.7098
k141_567	125.9711	622	0.5290
k141_568	4.8226	1060	0.7172
k141_570	71.8982	10695	0.4259
k141_571	6.7538	8833	0.6948
k141_576	8.0420	8936	0.7264
k141_577	4.8173	1423	0.6645
k141_578	4.5431	580	0.6800
k141_590	65.3238	8261	0.4414
k141_593	6.9047	7133	0.6843
k141_594	7.9789	2743	0.7024
k141_597	4.7953	816	0.6149
k141_603	4.9502	843	0.6849
k141_604	22.9146	1359	0.6365
k141_608	3.2079	558	0.6406
k141_610	6.0484	723	0.6348
k141_612	5.5165	1119	0.7118
k141_613	6.3222	5853	0.6899
k141_616	3.3950	524	0.7159
k141_619	5.9058	1911	0.6843
k141_623	3.5404	742	0.6327
k141_629	3.4459	841	0.6229
k141_630	65.4302	2771	0.3486
k141_634	71.3984	4669	0.4101
k141_636	5.9436	1809	0.7061
k141_639	8.0838	513	0.6604
k141_641	85.8692	1903	0.6102
k141_643	7.7289	12529	0.6946
k141_645	26.9421	1295	0.6505
k141_646	7.3727	3955	0.7082
k141_650	7.7330	9029	0.7303
k141_654	217.1094	585	0.3335
k141_659	6.5829	2764	0.7027
k141_660	6.9718	1063	0.6404
k141_661	3.8061	1186	0.6649
k141_667	3.2161	722	0.7197
k141_670	59.2927	3778	0.3665
k141_671	7.1092	1483	0.7221
k141_678	7.2240	14040	0.6963
k141_685	752.3813	750	0.3717
k141_692	24.9304	819	0.6439
k141_696	6.9474	6694	0.6889
k141_698	46.2777	8539	0.5622
k141_702	4.6662	1528	0.6975
k141_710	6.0641	1404	0.6563
k141_711	71.4331	5451	0.3753
k141_714	6.7032	12528	0.6958
k141_715	6.0365	7072	0.7021
k141_716	7.0777	4017	0.6966
k141_718	4.6815	3504	0.7247
k141_719	68.9908	12674	0.4234
k141_724	69.5344	15403	0.3725
k141_725	5.9427	11391	0.6735
k141_730	5.8694	2389	0.6931
k141_732	7.2939	6427	0.6950
k141_733	7.1857	14911	0.6967
k141_735	7.1381	7514	0.6659
k141_737	6.4478	1005	0.6586
k141_739	55.2922	1971	0.5341
k141_741	9.3486	2625	0.6432
k141_744	7.1919	3632	0.7015
k141_746	5.5563	1607	0.7165
k141_752	6.6912	3238	0.6918
k141_757	8.1924	8837	0.6924
k141_763	4.4322	1689	0.6860
k141_766	5.1928	866	0.6857
k141_767	6.0000	2803	0.6919
k141_769	7.2433	5188	0.6903
k141_782	37.9759	622	0.5231
k141_787	90.1650	921	0.5042
k141_792	103.0364	741	0.3724
k141_798	7.1870	8041	0.6772
k141_799	5.8418	752	0.6718
k141_802	5.6039	760	0.6221
k141_803	4.1311	656	0.7062
k141_805	7.0927	4540	0.6973
k141_806	5.6166	785	0.6946
k141_812	6.5950	7185	0.7081
k141_814	48.0217	8423	0.5138
k141_816	5.4876	1567	0.6922
k141_818	6.7083	1272	0.7063
k141_831	74.0568	17067	0.4301
k141_843	7.2056	9709	0.7023
k141_846	7.6022	2657	0.6805
k141_849	5.9480	2075	0.6567
k141_855	6.8905	11238	0.6864
k141_858	4.5850	694	0.7116
k141_862	6.9986	17932	0.6366
k141_867	6.4872	8801	0.6697
k141_870	7.4982	5807	0.6964
k141_873	4.7867	1749	0.6847
k141_874	5.7688	2647	0.7003
k141_876	5.1343	1102	0.7211
k141_877	7.2868	1911	0.6986
k141_878	7.3963	5655	0.6738
k141_882	6.7814	18888	0.7027
k141_884	5.0733	1092	0.7213
k141_889	6.9627	6996	0.7097
k141_890	7.1149	16402	0.6879
k141_892	7.3221	7722	0.5777
k141_896	7.3713	7143	0.6636
k141_899	7.6618	1085	0.7339
k141_904	6.5288	3994	0.6721
k141_912	4.7446	1586	0.6663
k141_917	6.8291	9739	0.7142
k141_920	5.3599	539	0.6997
k141_921	66.6858	3670	0.3997
k141_922	7.1620	6469	0.7251
k141_929	6.8064	8843	0.6797
k141_930	6.9232	9941	0.7052
k141_936	4.3426	613	0.7597
k141_938	4.6071	784	0.6343
k141_941	6.1618	13947	0.6882
k141_951	4.8383	575	0.7056
k141_958	6.9136	12102	0.6457
k141_965	6.3960	1591	0.7284
k141_966	15.8165	1330	0.6519
k141_967	3.5223	561	0.7233
k141_977	3.1599	857	0.6216
k141_981	4.5756	655	0.6960
k141_982	5.4437	1084	0.6465
k141_986	6.4186	6650	0.6738
k141_990	6.4484	1532	0.6766
k141_991	3.7023	1199	0.6941
k141_994	3.4385	846	0.6216
k141_996	6.4021	8256	0.6822
k141_998	7.1565	8178	0.6598
k141_1003	5.6156	3715	0.6779
k141_1005	8.0338	562	0.7229
k141_1006	7.1291	13505	0.6987
k141_1009	5.3945	4459	0.6881
k141_1010	6.7802	6955	0.7112
k141_1018	6.1756	6579	0.6989
k141_1020	7.3679	15041	0.7076
k141_1022	6.0672	2678	0.6754
k141_1024	4.4056	683	0.6213
k141_1027	72.4844	11735	0.3297
k141_1029	5.8406	2146	0.7140
k141_1030	4.0277	723	0.6791
k141_1034	4.7541	1159	0.6944
k141_1049	72.6723	6908	0.4067
k141_1051	6.2680	3552	0.6803
k141_1054	7.4687	2074	0.7055
k141_1058	4.4805	1948	0.7186
k141_1062	4.6548	2969	0.7192
k141_1064	39.7326	561	0.5489
k141_1067	3.8996	767	0.6731
k141_1068	5.8798	6431	0.6892
k141_1069	7.3082	4591	0.7270
k141_1070	5.5857	2691	0.6293
k141_1072	7.3483	8601	0.7125
k141_1073	7.5016	3170	0.6915
k141_1075	8.0838	1182	0.6798
k141_1079	72.4509	14916	0.4292
k141_1080	7.4173	10628	0.6457
k141_1087	143.7017	6496	0.4941
k141_1088	82.4072	2431	0.5167
k141_1093	5.2167	1057	0.7379
k141_1094	7.4641	8843	0.7223
k141_1098	27.4453	548	0.6443
k141_1099	7.5249	7958	0.7073
k141_1100	7.4607	1452	0.7002
k141_1101	5.7209	4002	0.7084
k141_1106	5.7274	873	0.7641
k141_1107	3.0490	592	0.6606
k141_1110	68.5455	561	0.3571
k141_1114	4.7816	1259	0.7425
k141_1117	5.3417	1352	0.6020
k141_1120	3.9989	901	0.7248
k141_1123	6.5401	3618	0.6817
k141_1125	6.3431	9843	0.7082
k141_1126	6.5096	4853	0.6863
k141_1127	7.9016	10326	0.6904
k141_1130	7.2221	6816	0.6592
k141_1134	8.6544	5500	0.6985
k141_1136	6.8224	4015	0.6793
k141_1137	7.7761	16474	0.7002
k141_1138	49.9815	29044	0.5815
k141_1141	6.9102	12278	0.6703
k141_1144	3.4561	581	0.6645
k141_1145	6.9732	4360	0.7167
k141_1146	4.8964	2933	0.6522
k141_1152	7.3526	8590	0.6901
k141_1156	6.1251	8304	0.7053
k141_1157	6.5024	12265	0.6732
k141_1162	6.8590	23723	0.6865
k141_1165	5.4569	3640	0.6974
k141_1168	72.9029	30140	0.4317
k141_1169	4.4587	3037	0.7246
k141_1171	5.8010	2512	0.7097
k141_1174	6.4114	2032	0.6810
k141_1186	3.9111	1035	0.6486
k141_1190	6.8353	6625	0.6924
k141_1195	6.1561	3068	0.6888
k141_1199	3.4081	593	0.7342
k141_1202	7.1837	1992	0.6724
k141_1207	7.0694	9745	0.7074
k141_1213	48.6447	15545	0.5440
k141_1215	6.8140	15945	0.7063
k141_1216	5.5713	1458	0.7559
k141_1217	5.5476	1554	0.6504
k141_1218	6.7651	10537	0.6989
k141_1221	71.3531	33131	0.4004
k141_1222	5.5465	5859	0.7051
k141_1223	5.7042	2049	0.6639
k141_1226	64.1605	1153	0.4535
k141_1228	40.8774	4536	0.5164
k141_1229	6.0375	3571	0.6995
k141_1241	6.0727	3248	0.6795
k141_1244	7.2181	5754	0.6977
k141_1253	6.7092	13446	0.7014
k141_1254	3.0627	622	0.7038
k141_1257	6.6278	3404	0.6967
k141_1260	3.7159	718	0.6803
k141_1262	68.1980	5071	0.3893
k141_1263	50.7436	866	0.3712
k141_1267	6.1967	3319	0.6645
k141_1276	6.6221	17332	0.6461
k141_1279	6.6393	1447	0.6787
k141_1280	5.9220	1474	0.6787
k141_1288	7.0605	15579	0.6936
k141_1295	6.4326	5095	0.6927
k141_1299	3.1520	513	0.7021
k141_1303	4.2992	1036	0.6975
k141_1310	6.4390	3178	0.6226
k141_1313	5.2300	1700	0.6705
k141_1315	4.2098	715	0.6615
k141_1317	12.6189	950	0.6289
k141_1324	5.5965	964	0.6148
k141_1327	4.5992	2879	0.6547
k141_1328	74.0154	32114	0.4077
k141_1329	75.0517	23795	0.3984
k141_1334	7.0391	5344	0.6819
k141_1336	6.8012	14281	0.6888
k141_1337	6.1907	17764	0.6870
k141_1342	6.6437	9040	0.7012
k141_1346	6.9686	1146	0.7201
k141_1353	7.3860	12338	0.6673
k141_1357	7.2381	9709	0.6855
k141_1361	7.3212	18816	0.7010
k141_1362	3.6375	731	0.6563
k141_1371	3.7660	2368	0.6739
k141_1375	7.6760	8633	0.6842
k141_1378	7.5722	6548	0.6824
k141_1380	73.8068	2055	0.3888
k141_1381	48.9812	34521	0.5618
k141_1382	5.3778	2996	0.7053
k141_1387	3.5795	673	0.6736
k141_1388	4.4308	1966	0.7075
k141_1389	50.1196	29655	0.5220
k141_1392	6.4484	7560	0.6800
k141_1394	6.6863	1428	0.6630
k141_1396	5.2407	2065	0.7130
k141_1400	6.2517	2574	0.6696
k141_1402	6.2818	5972	0.6942
k141_1410	5.8904	1734	0.7063
k141_1420	4.7160	2042	0.7032
k141_1430	6.3056	2091	0.7226
k141_1439	67.8425	12002	0.4018
k141_1440	4.5230	566	0.7309
k141_1445	6.4592	2644	0.6518
k141_1447	5.8454	7363	0.6773
k141_1452	6.9474	25255	0.6792
k141_1454	74.8083	27094	0.4235
k141_1456	6.5900	639	0.7162
k141_1457	65.2766	2444	0.3638
k141_1459	6.2988	13906	0.6807
k141_1462	7.5065	3019	0.6742
k141_1463	5.5180	2946	0.6827
k141_1465	4.2929	1089	0.6734
k141_1471	5.4512	1589	0.6889
k141_1479	73.9532	33804	0.4211
k141_1480	6.5117	11046	0.6362
k141_1482	4.6277	556	0.6833
k141_1483	4.9560	705	0.7182
k141_1486	6.2374	2329	0.6954
k141_1487	4.6929	762	0.6783
k141_1488	64.1062	1168	0.3306
k141_1507	7.0807	9848	0.6957
k141_1512	6.7624	2399	0.6994
k141_1514	122.4353	3375	0.5052
k141_1518	5.8555	1868	0.6625
k141_1522	6.5995	19516	0.6922
k141_1525	61.7824	501	0.6182
k141_1527	68.3669	3707	0.4193
k141_1529	7.2019	5962	0.6894
k141_1535	4.8154	921	0.7444
k141_1536	5.9679	7751	0.7080
k141_1546	7.1199	8454	0.7285
k141_1548	5.9302	2007	0.7413
k141_1553	5.6722	3130	0.6236
k141_1556	49.4153	37728	0.5798
k141_1557	8.8843	4400	0.7190
k141_1562	7.5339	16770	0.6557
k141_1564	7.2754	10374	0.7062
k141_1565	72.8689	45314	0.4310
k141_1569	55.8261	696	0.4080
k141_1572	7.0275	9467	0.6816
k141_1573	5.1898	1681	0.6940
k141_1579	3.2112	857	0.7103
k141_1580	8.3056	2487	0.6732
k141_1583	48.9152	45752	0.5971
k141_1585	6.2373	2490	0.6885
k141_1587	6.5188	6186	0.7132
k141_1588	6.2133	4300	0.6689
k141_1590	6.0666	8091	0.6950
k141_1597	7.5988	1685	0.6138
k141_1601	7.0127	7167	0.7056
k141_1603	3.4865	518	0.6894
k141_1609	46.0315	4095	0.5273
k141_1617	71.5896	15720	0.4106
k141_1619	5.2306	1496	0.6931
k141_1620	4.0846	1016	0.7186
k141_1622	71.3938	22586	0.4134
k141_1629	75.8190	39416	0.4367
k141_1630	4.7404	1429	0.6850
k141_1637	5.7733	2475	0.7149
k141_1638	5.8949	1389	0.7206
k141_1644	5.8884	1766	0.6839
k141_1645	5.5199	2339	0.6846
k141_1657	7.1898	5622	0.6874
k141_1659	8.3391	2238	0.6941
k141_1667	7.2245	9549	0.6902
k141_1668	3.4039	1114	0.6887
k141_1671	72.2633	39548	0.4144
k141_1674	6.3882	4570	0.6861
k141_1681	5.3014	2462	0.6780
k141_1687	59.5933	1726	0.3469
k141_1690	6.3157	3361	0.6790
k141_1693	6.1600	2907	0.6861
k141_1694	6.0536	10217	0.6919
k141_1696	8.5119	2221	0.7036
k141_1697	5.9892	5075	0.6903
k141_1699	6.0754	6521	0.7149
k141_1700	5.9286	4342	0.6481
k141_1702	6.8869	5323	0.6926
k141_1703	6.1740	862	0.7233
k141_1708	6.9246	6513	0.6793
k141_1711	6.7081	5724	0.6643
k141_1712	5.1316	4970	0.7126
k141_1714	7.3052	2421	0.6800
k141_1719	61.5981	836	0.3547
k141_1720	6.8626	7672	0.6095
k141_1721	7.0284	9590	0.6980
k141_1724	131.6596	1457	0.3394
k141_1727	3.6368	961	0.7350
k141_1728	7.6487	25580	0.6955
k141_1733	132.0469	1621	0.3234
k141_1735	3.5749	668	0.7143
k141_1745	5.3277	650	0.7007
k141_1749	5.0759	725	0.7393
k141_1760	3.4423	581	0.7000
k141_1761	5.2262	2016	0.6998
k141_1767	6.3299	5223	0.6681
k141_1771	7.4470	2235	0.7125
k141_1773	6.5086	2851	0.7060
k141_1774	5.8672	5263	0.6646
k141_1775	48.7594	34131	0.5459
k141_1778	4.3908	952	0.7188
k141_1779	71.8177	11166	0.4449
k141_1780	4.1840	924	0.6821
k141_1781	52.4587	678	0.3925
k141_1783	69.9763	12027	0.3872
k141_1784	71.8053	32314	0.4164
k141_1787	8.6061	2803	0.6833
k141_1788	39.8227	598	0.5448
k141_1790	6.1176	1216	0.7107
k141_1792	3.3217	1063	0.6788
k141_1797	4.7764	814	0.6821
k141_1804	36.3328	640	0.5108
k141_1807	6.5371	3422	0.6414
k141_1810	54.0320	12268	0.5508
k141_1812	6.9620	9508	0.6995
k141_1813	6.0836	2523	0.7083
k141_1814	4.1126	728	0.5874
k141_1819	5.6741	1608	0.6972
k141_1821	71.9890	56810	0.4110
k141_1827	6.1755	3509	0.6342
k141_1828	7.3412	3716	0.6960
k141_1833	67.7089	6126	0.3930
k141_1836	7.3463	11230	0.6936
k141_1841	5.4287	1164	0.6758
k141_1844	73.1714	32691	0.4494
k141_1846	6.3857	1076	0.6793
k141_1854	6.7677	14853	0.6754
k141_1855	7.4449	2769	0.6996
k141_1857	3.2956	548	0.6440
k141_1861	5.2961	1307	0.6750
k141_1862	4.0113	977	0.7197
k141_1863	71.9484	45400	0.4503
k141_1865	6.5140	1109	0.7490
k141_1874	72.1776	28724	0.4098
k141_1877	3.1007	546	0.6833
k141_1879	133.1459	1405	0.6568
k141_1884	7.7083	10372	0.6802
k141_1885	58.9544	24778	0.5802
k141_1891	69.8304	10633	0.4052
k141_1893	5.9473	2713	0.6905
k141_1897	49.0535	11468	0.5708
k141_1899	5.8362	647	0.6892
k141_1908	7.2722	5283	0.6848
k141_1910	6.6219	7045	0.7020
k141_1916	6.7956	1981	0.6865
k141_1936	7.2324	4944	0.6939
k141_1939	3.7291	646	0.7051
k141_1946	47.2000	7330	0.5201
k141_1951	5.4952	4180	0.6763
k141_1959	4.5109	1378	0.6238
k141_1964	3.8438	1018	0.6923
k141_1975	5.1672	616	0.7082
k141_1987	3.0083	965	0.6767
k141_1993	6.5103	18161	0.6665
k141_2002	3.3014	730	0.7147
k141_2005	3.9815	756	0.6944
k141_2006	5.9242	2427	0.6762
k141_2008	4.4587	1598	0.6883
k141_2013	4.8660	642	0.6880
k141_2017	3.8785	1086	0.7361
k141_2019	6.0710	4409	0.6914
k141_2022	356.0329	1185	0.3905
k141_2023	46.1459	1666	0.6537
k141_2027	7.5236	18917	0.6967
k141_2034	5.5502	747	0.7553
k141_2042	49.3415	46044	0.5395
k141_2044	6.0473	5829	0.7022
k141_2046	7.8708	4234	0.6982
k141_2047	5.3481	2637	0.7227
k141_2049	6.1631	1410	0.6639
k141_2051	4.4832	1070	0.7178
k141_2052	56.7356	503	0.3589
k141_2065	48.1824	3630	0.4918
k141_2073	6.4494	3240	0.6955
k141_2074	3.2669	637	0.6896
k141_2078	6.6420	34890	0.7047
k141_2079	6.6831	4008	0.6805
k141_2085	3.0969	1166	0.6661
k141_2092	4.7444	888	0.6922
k141_2094	7.5139	6589	0.7396
k141_2095	6.3396	5504	0.6425
k141_2097	43.0836	1100	0.4853
k141_2098	105.2869	711	0.3863
k141_2102	70.0788	11002	0.4376
k141_2109	41.2510	506	0.3913
k141_2111	7.0426	4486	0.7006
k141_2115	5.6436	1055	0.6214
k141_2122	6.4102	919	0.7178
k141_2124	6.7139	17853	0.7138
k141_2127	7.0501	3312	0.6689
k141_2132	6.7574	3697	0.6479
k141_2134	6.3240	5568	0.6855
k141_2144	7.1526	6817	0.7005
k141_2146	4.4431	853	0.7447
k141_2148	7.4234	11131	0.6858
k141_2151	3.7314	1694	0.6645
k141_2154	7.1033	687	0.6990
k141_2158	4.7020	3520	0.7005
k141_2163	6.2519	8417	0.6605
k141_2165	6.8770	569	0.7066
k141_2169	6.7938	1266	0.7078
k141_2180	7.5821	35258	0.6841
k141_2181	84.2417	633	0.5418
k141_2184	4.8322	852	0.6692
k141_2186	71.8683	36280	0.3835
k141_2189	7.4911	4459	0.7043
k141_2190	6.6813	1707	0.6568
k141_2191	5.0396	883	0.6870
k141_2192	5.8114	4655	0.6728
k141_2194	5.5300	5660	0.6932
k141_2197	6.7453	14937	0.7138
k141_2198	7.4034	8558	0.6913
k141_2199	7.7735	5169	0.7276
k141_2208	4.3560	691	0.7286
k141_2222	7.4894	20775	0.6598
k141_2223	6.5429	6406	0.6818
k141_2224	6.2615	5423	0.6966
k141_2226	7.3319	34727	0.6812
k141_2232	4.6987	1281	0.6826
k141_2235	4.9561	1935	0.6435
k141_2241	48.0179	669	0.5330
k141_2249	6.2566	5195	0.6781
k141_2250	65.9095	3458	0.3882
k141_2252	6.6022	3009	0.7025
k141_2260	8.0530	4186	0.6751
k141_2261	7.6561	12096	0.7005
k141_2264	6.7801	11755	0.7058
k141_2265	6.5406	8051	0.6863
k141_2269	5.1662	1528	0.7036
k141_2270	4.8589	971	0.6953
k141_2271	5.9210	4760	0.6877
k141_2272	104.2355	2501	0.5295
k141_2275	72.5480	36924	0.4231
k141_2282	5.1222	933	0.6871
k141_2285	336.4409	558	0.3538
k141_2291	7.1800	1961	0.5996
k141_2294	356.8630	1693	0.5349
k141_2298	4.7604	555	0.7169
k141_2301	65.1366	1449	0.3460
k141_2304	7.1854	5360	0.6967
k141_2305	5.8625	3381	0.7033
k141_2309	3.1123	677	0.6730
k141_2321	7.3051	2560	0.7083
k141_2322	7.2808	5726	0.6741
k141_2328	4.9359	1403	0.6744
k141_2330	53.0113	1417	0.6308
k141_2335	3.6953	722	0.7191
k141_2337	4.2973	750	0.7273
k141_2340	8.0517	14340	0.6826
k141_2341	5.5588	791	0.7107
k141_2345	5.8494	5238	0.6880
k141_2349	4.9969	2268	0.6801
k141_2352	3.7807	2627	0.6753
k141_2353	6.7235	12927	0.7071
k141_2354	6.5521	16167	0.7091
k141_2362	6.7248	12441	0.6858
k141_2365	7.1775	3167	0.6839
k141_2370	6.8014	7522	0.7173
k141_2371	6.7315	838	0.6910
k141_2374	75.7401	46388	0.4475
k141_2377	7.5211	3928	0.6806
k141_2381	5.4778	5433	0.6865
k141_2382	6.5021	6288	0.7148
k141_2385	6.5693	9563	0.6865
k141_2389	50.4349	26349	0.5235
k141_2393	3.1798	851	0.7331
k141_2394	71.3240	14573	0.3691
k141_2397	5.5118	1444	0.6889
k141_2400	6.3138	3289	0.6981
k141_2404	73.3584	73295	0.4260
k141_2406	7.2112	4446	0.6937
k141_2411	6.8525	15065	0.7050
k141_2412	6.5376	15053	0.7012
k141_2414	6.2709	7439	0.6902
k141_2416	78.4009	3290	0.3587
k141_2417	6.2100	10856	0.6749
k141_2418	7.8121	7875	0.6631
k141_2422	6.2174	7872	0.6932
k141_2424	65.4344	6239	0.3490
k141_2426	7.5515	4796	0.6900
k141_2437	67.9029	5499	0.3695
k141_2438	49.6850	13312	0.5622
k141_2447	54.8084	835	0.4595
k141_2450	4.3329	2223	0.7057
k141_2451	6.4833	2042	0.6742
k141_2454	6.0461	5292	0.6960
k141_2459	7.2968	1213	0.7206
k141_2464	72.4451	58531	0.4262
k141_2465	5.6947	714	0.6713
k141_2466	74.1518	25506	0.4359
k141_2474	5.7091	6844	0.6951
k141_2478	6.1881	2286	0.6985
k141_2486	48.6573	79954	0.5613
k141_2492	8.1046	6157	0.6731
k141_2497	65.9067	836	0.3910
k141_2500	7.6062	7974	0.6263
k141_2501	4.6037	911	0.7212
k141_2504	5.8904	4900	0.7081
k141_2506	6.7188	5092	0.7254
k141_2512	3.7062	1137	0.6860
k141_2521	11.7789	511	0.5498
k141_2529	4.0509	806	0.6315
k141_2541	6.5377	7273	0.6805
k141_2544	3.8908	696	0.6932
k141_2545	4.1909	639	0.6977
k141_2559	7.4878	6488	0.6404
k141_2563	6.6814	4338	0.6231
k141_2569	72.1429	47042	0.4299
k141_2571	4.1997	711	0.6781
k141_2572	5.5314	653	0.6376
k141_2575	5.1096	976	0.7108
k141_2577	7.6504	5726	0.6625
k141_2578	8.8610	935	0.6789
k141_2579	6.4078	5561	0.7197
k141_2583	73.6495	29281	0.4089
k141_2590	7.0624	10505	0.6950
k141_2591	6.2764	2095	0.6641
k141_2594	6.6851	4637	0.6660
k141_2602	4.4366	859	0.7084
k141_2606	6.7690	4995	0.6356
k141_2610	6.2898	4731	0.6963
k141_2612	5.9554	6722	0.7284
k141_2618	7.8093	3219	0.7299
k141_2619	3.5946	819	0.6910
k141_2629	6.4039	15838	0.6519
k141_2635	4.7536	3714	0.7349
k141_2636	4.8614	909	0.6975
k141_2639	6.9783	21372	0.7001
k141_2648	6.2694	902	0.6760
k141_2654	4.0200	749	0.6957
k141_2671	6.8025	952	0.6623
k141_2678	7.3187	4999	0.6801
k141_2680	72.9232	49860	0.4139
k141_2683	7.4949	584	0.6485
k141_2685	5.4801	677	0.6767
k141_2687	72.9952	5585	0.4077
k141_2689	5.4908	1850	0.6445
k141_2690	4.5224	4784	0.7008
k141_2692	5.5301	1228	0.6984
k141_2702	3.0251	597	0.7231
k141_2707	125.1663	1365	0.4283
k141_2709	7.6589	21415	0.6850
k141_2711	5.2861	783	0.6535
k141_2712	7.2370	5865	0.7206
k141_2713	68.3248	5721	0.4203
k141_2715	8.2325	1811	0.6819
k141_2723	5.6066	3805	0.6814
k141_2730	115.5088	963	0.3510
k141_2740	6.8773	8446	0.6543
k141_2742	6.6966	1595	0.7670
k141_2756	7.1717	6274	0.6578
k141_2761	4.8363	3964	0.7168
k141_2765	6.5957	9942	0.6857
k141_2768	7.3978	7323	0.6840
k141_2770	8.8659	5323	0.6714
k141_2776	4.7806	1317	0.6917
