#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k141_47 flag=0 multi=1.5258 len=335	0.7313	335	0.0000	73.1343	245	1	0	0.6611	1	0.44
k141_48 flag=0 multi=5.0000 len=664	5.9985	664	0.0000	100.0000	664	6	8	0.6747	6	2.32
k141_49 flag=0 multi=6.0000 len=480	7.0042	480	0.0000	100.0000	480	7	5	0.7536	8	3.46
k141_50 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5581	1	0.06
k141_51 flag=1 multi=1.0000 len=343	0.0000	343	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_52 flag=0 multi=4.0505 len=577	4.0867	577	0.0000	96.1872	555	4	4	0.6773	4	2.56
k141_53 flag=1 multi=1.0000 len=316	0.9082	316	0.0000	90.8228	287	0	1	0.3389	1	0.29
k141_54 flag=1 multi=1.0000 len=311	0.9678	311	0.0000	96.7846	301	0	1	0.7143	1	0.18
k141_55 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.2492	1	0.06
k141_56 flag=0 multi=8.9082 len=457	0.6586	457	0.0000	65.8643	301	0	1	0.3156	1	0.47
k141_57 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4452	1	0.06
k141_58 flag=0 multi=7.0000 len=244	0.9221	244	0.0000	92.2131	225	0	1	0.7641	1	0.27
k141_59 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7243	1	0.06
k141_60 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5515	1	0.06
k141_61 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4784	1	0.06
k141_62 flag=1 multi=1.0000 len=334	0.0000	334	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_63 flag=0 multi=392.9256 len=262	32.4466	262	0.0000	100.0000	262	21	12	0.4023	33	2.39
k141_64 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5714	1	0.06
k141_65 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6777	1	0.06
k141_66 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6877	1	0.06
k141_67 flag=1 multi=4.0465 len=356	0.8455	356	0.0000	84.5506	301	0	1	0.7243	1	0.36
k141_68 flag=1 multi=1.0000 len=300	1.0000	300	0.0000	100.0000	300	0	1	0.4751	1	0.06
k141_69 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6744	1	0.06
k141_70 flag=1 multi=4.0000 len=345	0.8725	345	0.0000	87.2464	301	0	1	0.7010	1	0.34
k141_71 flag=1 multi=1.0000 len=318	63.0818	318	0.0000	100.0000	318	37	36	0.5494	71	13.45
k141_72 flag=0 multi=4.0000 len=371	1.4960	371	0.0000	75.4717	280	2	0	0.7209	2	0.86
k141_73 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7176	1	0.06
k141_74 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7276	1	0.06
k141_75 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7043	1	0.06
k141_76 flag=0 multi=111.9759 len=556	80.0144	556	0.0000	100.0000	556	79	75	0.5487	82	36.35
k141_77 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3488	1	0.06
k141_78 flag=0 multi=3.0829 len=358	1.3911	358	0.0000	74.0223	265	0	2	0.7608	2	0.87
k141_79 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4319	1	0.06
k141_80 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6711	1	0.06
k141_81 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6346	1	0.06
k141_82 flag=1 multi=4.0000 len=449	1.3408	449	0.0000	100.0000	449	2	0	0.6993	1	0.48
k141_83 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4319	1	0.06
k141_84 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4983	1	0.06
k141_85 flag=0 multi=4.0202 len=885	5.0316	885	0.0000	100.0000	885	7	8	0.6884	5	2.35
k141_86 flag=0 multi=302.0000 len=267	53.4157	267	0.0000	100.0000	267	25	32	0.3791	57	8.61
k141_87 flag=1 multi=1.0000 len=511	1.1781	511	0.0000	100.0000	511	0	2	0.6844	1	0.39
k141_88 flag=1 multi=1.0000 len=321	0.9377	321	0.0000	93.7695	301	0	1	0.7110	1	0.25
k141_89 flag=0 multi=2.2319 len=348	0.8649	348	0.0000	86.4943	301	1	0	0.6977	1	0.34
k141_91 flag=1 multi=1.0000 len=311	0.9453	311	0.0000	94.5338	294	1	0	0.6944	1	0.23
k141_92 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6412	1	0.06
k141_93 flag=1 multi=1.0000 len=408	9.8995	408	0.0000	80.6373	329	12	3	0.4042	15	6.39
k141_94 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3355	1	0.06
k141_95 flag=1 multi=1.0000 len=331	0.9094	331	0.0000	90.9366	301	0	1	0.3754	1	0.29
k141_96 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6678	1	0.06
k141_97 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4784	1	0.06
k141_98 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6678	1	0.06
k141_99 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6811	1	0.06
k141_100 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6611	1	0.06
k141_101 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4618	1	0.06
k141_102 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5581	1	0.06
k141_103 flag=1 multi=1.0000 len=331	0.9094	331	0.0000	90.9366	301	1	0	0.7143	1	0.29
k141_104 flag=0 multi=160.8173 len=245	15.5510	245	0.0000	100.0000	245	7	9	0.5071	16	1.65
k141_105 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3754	1	0.06
k141_106 flag=0 multi=5.0374 len=435	0.6506	435	0.0000	65.0575	283	0	1	0.7010	1	0.48
k141_107 flag=1 multi=1.0000 len=314	0.9586	314	0.0000	95.8599	301	0	1	0.6246	1	0.21
k141_108 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7043	1	0.06
k141_109 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4618	1	0.06
k141_110 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6047	1	0.06
k141_111 flag=0 multi=134.2822 len=304	31.8388	304	0.0000	100.0000	304	16	19	0.5860	35	6.98
k141_112 flag=1 multi=1.0000 len=377	0.7984	377	0.0000	79.8408	301	0	1	0.4419	1	0.40
k141_113 flag=0 multi=6.0000 len=1168	5.5342	1168	0.0000	100.0000	1168	10	12	0.6824	6	2.28
k141_115 flag=0 multi=93.6531 len=288	30.4028	288	0.0000	100.0000	288	20	14	0.3652	34	5.40
k141_116 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7176	1	0.06
k141_117 flag=0 multi=7.0000 len=546	5.3022	546	0.0000	93.5897	511	1	9	0.6668	6	3.01
k141_118 flag=1 multi=4.0000 len=1313	4.1203	1313	0.0000	100.0000	1313	9	9	0.6126	4	2.25
k141_119 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5083	1	0.06
k141_120 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3621	1	0.06
k141_121 flag=0 multi=1.0000 len=358	0.8408	358	0.0000	84.0782	301	0	1	0.7010	1	0.37
k141_122 flag=1 multi=5.0000 len=344	0.0000	344	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_123 flag=0 multi=1.1274 len=400	0.0000	400	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_124 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3156	1	0.06
k141_125 flag=0 multi=5.9722 len=753	4.1208	753	0.0000	100.0000	753	9	2	0.6524	4	2.50
k141_126 flag=0 multi=1.4545 len=284	1.8275	284	0.0000	95.0704	270	1	1	0.6512	2	0.50
k141_127 flag=0 multi=154.0000 len=1343	178.8459	1343	0.0000	100.0000	1343	401	411	0.5161	200	44.04
k141_128 flag=0 multi=4.5319 len=329	0.7933	329	0.0000	79.3313	261	1	0	0.6877	1	0.41
k141_129 flag=1 multi=1.0000 len=370	0.0000	370	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_130 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6944	1	0.06
k141_131 flag=1 multi=4.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6944	1	0.06
k141_132 flag=0 multi=176.9032 len=327	53.6544	327	0.0000	100.0000	327	28	38	0.5010	56	13.53
k141_133 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6777	1	0.06
k141_134 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4651	1	0.06
k141_136 flag=1 multi=1.0000 len=496	1.2137	496	0.0000	99.5968	494	0	2	0.7359	1	0.42
k141_137 flag=1 multi=5.0000 len=1294	5.1182	1294	0.0000	99.4590	1287	11	11	0.7095	6	2.33
k141_138 flag=0 multi=4.0000 len=447	4.5056	447	0.0000	100.0000	447	5	2	0.6317	4	1.65
k141_139 flag=0 multi=6.0000 len=1689	5.2143	1689	0.0000	100.0000	1689	12	18	0.6911	5	2.49
k141_141 flag=0 multi=7.0000 len=1360	5.2449	1360	0.0000	100.0000	1360	12	12	0.6624	5	2.10
k141_142 flag=1 multi=1.0000 len=339	0.8879	339	0.0000	88.7906	301	1	0	0.4684	1	0.32
k141_143 flag=1 multi=1.0000 len=347	0.0000	347	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_144 flag=0 multi=5.0101 len=1131	5.7118	1131	0.0000	100.0000	1131	10	12	0.7212	6	1.52
k141_145 flag=1 multi=3.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6711	1	0.06
k141_146 flag=0 multi=4.1105 len=331	1.6073	331	0.0000	100.0000	331	2	0	0.6545	2	0.50
k141_147 flag=1 multi=4.0000 len=1614	5.4077	1614	0.0000	100.0000	1614	16	13	0.6787	6	2.91
k141_148 flag=0 multi=6.0000 len=988	5.9848	988	0.0000	99.3927	982	16	4	0.6932	6	2.65
k141_149 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3887	1	0.06
k141_150 flag=1 multi=1.0000 len=301	1.7276	301	0.0000	100.0000	301	1	1	0.3937	2	0.46
k141_151 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3688	1	0.06
k141_152 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7076	1	0.06
k141_153 flag=0 multi=5.0000 len=204	0.0000	204	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_154 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3754	1	0.06
k141_155 flag=0 multi=1.0000 len=689	0.8737	689	0.0000	75.4717	520	2	0	0.6777	1	0.59
k141_156 flag=1 multi=3.9318 len=933	3.2744	933	0.0000	86.2808	805	6	5	0.7590	4	1.95
k141_157 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4751	1	0.06
k141_158 flag=1 multi=5.0233 len=441	1.0249	441	0.0000	100.0000	441	2	0	0.6777	1	0.16
k141_159 flag=1 multi=478.0000 len=741	63.2078	741	0.0000	100.0000	741	81	89	0.3990	66	17.01
k141_160 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6478	1	0.06
k141_161 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5282	1	0.06
k141_162 flag=0 multi=264.3214 len=281	29.2598	281	0.0000	100.0000	281	17	15	0.3505	32	5.51
k141_163 flag=0 multi=2.9570 len=699	1.2589	699	0.0000	72.3891	506	0	3	0.6445	1	0.98
k141_164 flag=1 multi=5.0000 len=1767	5.8834	1767	0.0000	100.0000	1767	18	17	0.6759	6	3.03
k141_165 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6711	1	0.06
k141_166 flag=0 multi=303.0000 len=313	143.9776	313	0.0000	100.0000	313	83	82	0.3785	164	29.35
k141_167 flag=1 multi=4.0059 len=1151	4.1851	1151	0.0000	100.0000	1151	8	8	0.7124	4	2.54
k141_168 flag=1 multi=1.0000 len=372	6.9812	372	0.0000	87.6344	326	5	4	0.3953	9	3.28
k141_169 flag=1 multi=1.0000 len=301	2.8937	301	0.0000	100.0000	301	3	0	0.3732	3	0.45
k141_170 flag=1 multi=5.0000 len=682	6.1789	682	0.0000	100.0000	682	8	6	0.6709	6	3.66
k141_171 flag=0 multi=6.0000 len=1997	6.0005	1997	0.0000	97.3961	1945	23	17	0.7060	5	3.41
k141_172 flag=0 multi=4.0113 len=2091	4.5184	2091	0.0000	100.0000	2091	15	17	0.6435	5	1.79
k141_173 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6379	1	0.06
k141_174 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3987	1	0.06
k141_175 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6977	1	0.06
k141_176 flag=1 multi=1.0000 len=300	1.0000	300	0.0000	100.0000	300	0	1	0.5249	1	0.06
k141_177 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3522	1	0.06
k141_178 flag=0 multi=91.7730 len=304	32.8783	304	0.0000	100.0000	304	22	15	0.3691	36	5.75
k141_179 flag=1 multi=4.0000 len=547	2.6362	547	0.0000	93.4186	511	2	3	0.7289	3	1.55
k141_180 flag=0 multi=271.1125 len=1199	310.0367	1199	0.0000	100.0000	1199	637	633	0.3495	349	74.24
k141_181 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6179	1	0.06
k141_182 flag=0 multi=88.3129 len=2292	76.4612	2292	0.0000	100.0000	2292	298	291	0.3357	79	16.93
k141_183 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.7043	1	0.06
k141_184 flag=1 multi=1.0000 len=318	0.9465	318	0.0000	94.6541	301	0	1	0.4884	1	0.23
k141_185 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4186	1	0.06
k141_186 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.5449	1	0.06
k141_187 flag=1 multi=1.0000 len=305	0.9869	305	0.0000	98.6885	301	1	0	0.6645	1	0.13
k141_188 flag=1 multi=4.0000 len=868	3.4643	868	0.0000	100.0000	868	8	2	0.6997	3	1.69
k141_189 flag=0 multi=5.0171 len=375	0.8027	375	0.0000	80.2667	301	0	1	0.6977	1	0.40
k141_190 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4286	1	0.06
k141_191 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.8007	1	0.06
k141_192 flag=0 multi=83.0697 len=830	122.1289	830	0.0000	100.0000	830	168	178	0.5315	144	38.28
k141_193 flag=1 multi=4.0000 len=2137	4.7890	2137	0.0000	92.5597	1978	19	15	0.7304	5	2.38
k141_194 flag=1 multi=1.0000 len=309	0.0000	309	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_195 flag=0 multi=5.1392 len=220	0.0000	220	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_196 flag=1 multi=6.0000 len=358	0.0000	358	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_197 flag=0 multi=1.0000 len=400	0.7525	400	0.0000	75.2500	301	1	0	0.7176	1	0.43
k141_198 flag=1 multi=3.0000 len=862	3.4919	862	0.0000	100.0000	862	1	9	0.7050	3	2.30
k141_199 flag=0 multi=5.0000 len=818	4.4083	818	0.0000	100.0000	818	5	7	0.6553	4	2.20
k141_200 flag=0 multi=1.0000 len=353	3.8952	353	0.0000	100.0000	353	3	2	0.6432	5	1.51
k141_201 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4718	1	0.06
k141_202 flag=1 multi=5.0000 len=947	4.1320	947	0.0000	100.0000	947	8	5	0.7281	4	2.16
k141_203 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6445	1	0.06
k141_204 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6279	1	0.06
k141_205 flag=0 multi=1.2245 len=435	0.6920	435	0.0000	69.1954	301	1	0	0.6179	1	0.46
k141_206 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4983	1	0.06
k141_207 flag=1 multi=1.0000 len=486	0.6193	486	0.0000	61.9342	301	0	1	0.6113	1	0.49
k141_208 flag=0 multi=3.2960 len=1016	2.9134	1016	0.0000	100.0000	1016	5	5	0.6721	3	1.68
k141_210 flag=0 multi=4.0000 len=487	2.4271	487	0.0000	100.0000	487	0	4	0.7400	3	1.17
k141_211 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3821	1	0.06
k141_213 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7409	1	0.06
k141_214 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4419	1	0.06
k141_215 flag=0 multi=111.0000 len=335	73.8149	335	0.0000	100.0000	335	39	52	0.4067	81	19.14
k141_216 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3920	1	0.06
k141_217 flag=1 multi=1.0000 len=334	0.9012	334	0.0000	90.1198	301	0	1	0.6711	1	0.30
k141_218 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4319	1	0.06
k141_219 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4850	1	0.06
k141_220 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4020	1	0.06
k141_221 flag=1 multi=1.0000 len=442	12.2285	442	0.0000	88.4615	391	11	7	0.3977	17	7.03
k141_222 flag=0 multi=1.0000 len=315	0.9556	315	0.0000	95.5556	301	1	0	0.7076	1	0.21
k141_223 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3156	1	0.06
k141_224 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4718	1	0.06
k141_225 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6379	1	0.06
k141_226 flag=1 multi=5.9038 len=2313	5.1971	2313	0.0000	100.0000	2313	20	20	0.7416	5	2.30
k141_227 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4817	1	0.06
k141_229 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3621	1	0.06
k141_230 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5382	1	0.06
k141_231 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3522	1	0.06
k141_232 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3887	1	0.06
k141_233 flag=0 multi=5.0000 len=350	0.0000	350	0.0000	0.0000	0	0	0	0.0000	0	0.00
k141_234 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3688	1	0.06
k141_235 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4286	1	0.06
k141_237 flag=0 multi=306.2938 len=546	171.7912	546	0.0000	100.0000	546	146	174	0.3846	174	78.91
k141_238 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.5781	1	0.06
k141_240 flag=1 multi=1.0000 len=301	16.4319	301	0.0000	100.0000	301	12	8	0.3784	20	6.48
k141_241 flag=0 multi=93.6170 len=423	15.4681	423	0.0000	100.0000	423	9	13	0.5432	19	7.30
k141_242 flag=1 multi=4.0000 len=309	0.9741	309	0.0000	97.4110	301	0	1	0.6611	1	0.17
k141_243 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.4219	1	0.06
k141_244 flag=0 multi=311.7234 len=2672	390.5909	2672	0.0000	100.0000	2672	1753	1744	0.5323	418	74.80
k141_245 flag=0 multi=116.0000 len=1683	137.0957	1683	0.0000	100.0000	1683	398	379	0.4925	150	33.73
k141_246 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.3754	1	0.06
k141_247 flag=0 multi=15.0000 len=1521	18.1854	1521	0.0000	100.0000	1521	46	47	0.6521	19	6.33
k141_248 flag=1 multi=1.0000 len=306	13.7190	306	0.0000	100.0000	306	6	9	0.3243	15	3.35
k141_249 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.6478	1	0.06
k141_250 flag=0 multi=6.0000 len=491	1.7393	491	0.0000	99.1853	487	2	1	0.7243	2	0.70
k141_251 flag=1 multi=4.0000 len=302	1.9570	302	0.0000	100.0000	302	0	2	0.6993	2	0.23
k141_252 flag=0 multi=5.0000 len=471	5.6200	471	0.0000	100.0000	471	3	6	0.7139	7	3.17
k141_253 flag=0 multi=5.0000 len=2399	7.3501	2399	0.0000	100.0000	2399	31	28	0.6836	8	2.11
k141_254 flag=0 multi=1.0000 len=338	0.8905	338	0.0000	89.0533	301	1	0	0.7342	1	0.32
k141_255 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.4718	1	0.06
k141_256 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.7907	1	0.06
k141_257 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6744	1	0.06
k141_258 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	0	1	0.6711	1	0.06
k141_259 flag=1 multi=1.0000 len=301	1.0000	301	0.0000	100.0000	301	1	0	0.3156	1	0.06
k141_260 flag=1 multi=1.0000 len=531	0.5669	531	0.0000	56.6855	301	0	1	0.6811	1	0.50
